2026-05-09 22:52:22,285: Key.print_screen
2026-05-09 22:52:40,157: k
2026-05-09 22:52:40,741: e
2026-05-09 22:52:40,965: y
2026-05-09 22:52:41,477: l
2026-05-09 22:52:41,677: o
2026-05-09 22:52:42,045: g
2026-05-09 22:52:42,205: g
2026-05-09 22:52:42,405: e
2026-05-09 22:52:42,549: r
2026-05-09 22:52:43,637: -
2026-05-09 22:52:44,453: i
2026-05-09 22:52:44,661: n
2026-05-09 22:52:44,821: i
2026-05-09 22:52:45,021: c
2026-05-09 22:52:45,165: i
2026-05-09 22:52:45,309: a
2026-05-09 22:52:45,493: d
2026-05-09 22:52:45,765: o
2026-05-09 22:53:00,389: i
2026-05-09 22:53:00,565: n
2026-05-09 22:53:00,733: i
2026-05-09 22:53:00,877: c
2026-05-09 22:53:01,013: i
2026-05-09 22:53:01,685: o
2026-05-09 22:53:01,909: i
2026-05-09 22:53:04,268: Key.ctrl_l
2026-05-09 22:53:04,581: 
2026-05-09 22:53:43,861: o
2026-05-09 22:53:43,973: k
2026-05-09 22:53:44,276: Key.space
2026-05-09 22:53:44,397: v
2026-05-09 22:53:44,581: o
2026-05-09 22:53:44,837: u
2026-05-09 22:53:45,124: Key.space
2026-05-09 22:53:45,437: d
2026-05-09 22:53:45,749: i
2026-05-09 22:53:46,221: g
2026-05-09 22:53:46,341: i
2026-05-09 22:53:46,677: t
2026-05-09 22:53:46,821: a
2026-05-09 22:53:46,997: r
2026-05-09 22:53:54,845: b
2026-05-09 22:53:54,965: a
2026-05-09 22:53:56,421: n
2026-05-09 22:53:56,669: c
2026-05-09 22:53:56,973: o
2026-05-09 22:53:57,284: Key.space
2026-05-09 22:53:57,565: t
2026-05-09 22:53:57,677: e
2026-05-09 22:53:57,925: s
2026-05-09 22:53:57,965: t
2026-05-09 22:53:58,245: e
2026-05-09 22:53:59,308: Key.enter
2026-05-09 22:54:08,405: d
2026-05-09 22:54:08,565: e
2026-05-09 22:54:08,829: s
2026-05-09 22:54:08,917: a
2026-05-09 22:54:09,173: f
2026-05-09 22:54:09,445: i
2026-05-09 22:54:09,541: o
2026-05-09 22:54:09,892: Key.space
2026-05-09 22:54:10,261: t
2026-05-09 22:54:10,405: e
2026-05-09 22:54:10,613: s
2026-05-09 22:54:10,725: t
2026-05-09 22:54:10,965: e
2026-05-09 22:54:11,540: Key.enter
2026-05-09 22:54:25,997: c
2026-05-09 22:54:26,101: a
2026-05-09 22:54:26,365: l
2026-05-09 22:54:26,533: c
2026-05-09 22:54:26,717: u
2026-05-09 22:54:27,700: Key.enter
2026-05-09 22:54:29,525: None
2026-05-09 22:54:29,789: None
2026-05-09 22:54:31,045: None
2026-05-09 22:54:31,493: None
2026-05-09 22:54:31,789: None
2026-05-09 22:54:32,125: None
2026-05-09 22:54:32,813: None
2026-05-09 22:54:32,957: None
2026-05-09 22:54:33,996: Key.enter
2026-05-09 22:55:43,820: Key.esc
